[2026-03-03T08:18:10.809+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:18:09.287227+00:00 [queued]>
[2026-03-03T08:18:27.943+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:28.204+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:28.448+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:28.697+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:28.925+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:29.243+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:29.490+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:29.730+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:29.959+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:30.184+0000] {extract_bronze.py:88} INFO - Loaded 4921 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:30.406+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:30.618+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:30.836+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:31.046+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:31.267+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:31.476+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:31.685+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:31.891+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:32.170+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:32.389+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:32.703+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:32.739+0000] {extract_bronze.py:88} INFO - Loaded 435 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:18:33.027+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:33.333+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:33.677+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:34.045+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:34.617+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:34.894+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:35.144+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:35.436+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:35.971+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:36.127+0000] {extract_bronze.py:88} INFO - Loaded 3258 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:18:36.128+0000] {extract_bronze.py:93} INFO - Total timesheet rows loaded: 412571
[2026-03-03T08:18:36.128+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-03-03T08:18:36.157+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=etl_pipeline, task_id=extract_timesheets, execution_date=20260303T081809, start_date=20260303T081810, end_date=20260303T081836
[2026-03-03T08:18:36.211+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-03-03T08:18:36.240+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
